"Метка"."Тип"."Значение"."Количество"
"C1, C9, C13, C14, C15"."CAP_0805"."1u"."5"
"C2, C3"."CAP_0805"."22p"."2"
"C4, C7, C17, C23, C25"."CAP100RP"."10u"."5"
"C5"."CAP200RP"."220u63v"."1"
"C6, C8, C10, C11, C18, C19, C20, C21, C22, C24, C43, C44, C45, C46, C47, C48, C49, C50, C51"."CAP_0805"."0.1u"."19"
"C12, C16"."CAP_0805"."10u"."2"
"C26, C27, C28, C29, C37, C38, C39"."CAP_0805"."0,1u"."7"
"C30, C31, C32, C40, C41, C42"."CAP_1206"."1u"."6"
"C33, C34, C35, C36"."CAP200RP"."220u"."4"
"D1, D3"."LT1117CST-3.3".""."2"
"D2"."PIC24HJ64GP206_PT".""."1"
"D4"."P6AU-0512ELF".""."1"
"D5, D6, D7, D9, D10, D11"."IR2104S".""."6"
"D8"."MAX485CSA"."ADM485"."1"
"D12, D14"."PC817".""."2"
"D13"."AMSR1-7805".""."1"
"DA1, DA2, DA3, DA4"."MAX44280".""."4"
"R1"."RES400"."1"."1"
"R2, R58, R59"."RES_0805"."5.1k"."3"
"R3"."RES400"."0"."1"
"R4, R56, R57"."RES_0805"."10k"."3"
"R5, R7, R9, R10, R11, R12, R13, R14, R18, R19, R20, R21, R49"."RES_0805"."1k"."13"
"R6, R8, R26"."RES_0805"."20k"."3"
"R15, R16, R17, R22, R23, R24, R25, R36, R37, R38, R55"."RES_0805"."240"."11"
"R27, R28, R29, R30, R31, R32, R33, R34, R35, R40, R41, R42, R43, R44, R45, R46, R47, R48, R54"."RES_0805"."5R6"."19"
"R39"."RES_2512"."1"."1"
"R50, R52"."RES_2512"."300"."2"
"R51, R53"."RES400"."300"."2"
"R60"."RES_0805"."120"."1"
"VD1"."1N5946".""."1"
"VD2, VD3, VD4, VD5"."PMLL4148L".""."4"
"VD9, VD10"."LED".""."2"
"VD11, VD12, VD13, VD14, VD15, VD16"."DIODE_1206"."PMLL4148L"."6"
"VT1, VT2, VT3, VT4, VT5, VT6, VT7, VT8, VT9, VT10, VT11, VT12, VT13, VT14"."IRLML2803".""."14"
"VT15, VT16, VT17, VT18"."BC327".""."4"
"X1"."Screw connector".""."1"
"X2"."PLS-6".""."1"
"X3, X4"."PLS-2".""."2"
"X5"."PLS-3".""."1"
"X6"."IDC2X20M".""."1"
"ZQ1"."CRYSTALHC49S"."16MHz"."1"
